,term,neutral_alternative
538,handicraftsmanship,
539,handicraftswoman,
540,handworkman,
541,hangman,
542,hangmanship,
543,hangwoman,
544,hardwareman,
545,harman,
546,harvestman,
547,hatcheryman,
548,hatchetman,
549,hatchman,
550,hatchwayman,
551,hawseman,
552,headman,
553,headsman,
554,hearthman,
555,heaterman,
556,heatsman,
557,helmsman,
558,helmsmanship,
559,henchman,
560,henchmanship,
561,herbman,
562,herbwoman,
563,herdsman,
564,herdswoman,
565,hetman,
566,hetmanship,
567,hielaman,
568,Highlandman,
569,highman,
570,highwayman,
571,hillman,
572,hillsalesman,
573,hillsman,
574,hillwoman,
575,Himantopus,
576,hireman,
577,hoastman,
578,hodman,
579,hodmandod,
580,hoistman,
581,holdsman,
582,holeman,
583,honorsman,
584,hoodman,
585,hookerman,
586,hookman,
587,hoopman,
588,hopperman,
589,hornsman,
590,horseman,
591,horsemanship,
592,horsewoman,
593,horsewomanship,
594,hoseman,
595,houndman,
596,houseman,
597,hoyman,
598,hundredman,
599,huntsman,
600,huntsmanship,
601,huntswoman,
602,hurdleman,
603,husbandman,
604,iceman,
605,idleman,
606,Indiaman,
607,infantryman,
608,infieldsman,
609,ingotman,
610,Inkerman,
611,instrumentman,
612,Irishman,
613,Irishwoman,
614,ironman,
615,islandman,
616,islesman,
617,jackman,
618,jajman,
619,jarkman,
620,jiggerman,
621,jigman,
622,jobman,
623,jolleyman,
624,journeyman,
625,journeywoman,
626,junkman,
627,juryman,
628,jurywoman,
629,keelboatman,
630,keelman,
631,kemperyman,
632,kennelman,
633,Kentishman,
634,kesslerman,
635,kibblerman,
636,kidsman,
637,kilnman,
638,kingsman,
639,kinsman,
640,kinsmanly,
641,kinsmanship,
642,kinswoman,
643,kirkman,
644,Kirman,
645,kitchenman,
646,Klansman,
647,Klanswoman,
648,klootchman,
649,knifeman,
650,kooliman,
651,laceman,
652,lacewoman,
653,lademan,
654,lairman,
655,lakemanship,
656,lampman,
657,lanceman,
658,landamman,
659,landman,
660,landsman,
661,lanternman,
662,larriman,
663,latchman,
664,latheman,
665,lathesman,
666,laundryman,
667,laundrywoman,
668,lawman,
669,lawrightman,
670,layman,
671,laymanship,
672,laywoman,
673,leachman,
674,leadman,
675,leadsman,
676,leatman,
677,leetman,
678,legman,
679,lehrman,
680,leman,
681,lengthsman,
682,levelman,
683,leverman,
684,liegeman,
685,lifeboatman,
686,liftman,
687,lighterman,
688,lighthouseman,
689,lightman,
690,lightmanship,
691,lightsman,
692,liman,
